ID,Runtime,Waste
A1,0.03,26.6758
A2,558.05,44.6762
A3,6.09,33.088
A4,6.08,34.5172
A5,21.21,41.1031
A6,1.4,41.954
A7,4.32,40.1723
A8,10.17,41.726
A9,7.2,41.5583
A10,10.39,38.1366
A11,41.66,41.1776
A12,8.0,44.8536
A13,142.68,32.3539
A14,227.75,39.3706
A15,332.41,36.6893
A16,1.44,34.5669
A17,0.13,31.6906
A18,5.24,36.6487
A19,2.51,35.7768
A20,0.82,32.7441
