ID,Runtime,Waste
A1,0.03,26.6758
A2,725.38,44.6762
A3,9.15,33.088
A4,9.66,34.5172
A5,32.73,41.1031
A6,2.29,41.954
A7,6.49,40.1723
A8,15.61,41.726
A9,11.65,41.5583
A10,15.98,38.1366
A11,20.96,41.1776
A12,6.36,44.8536
A13,89.58,32.3539
A14,147.46,39.3706
A15,256.05,36.6893
A16,0.94,34.5669
A17,0.1,31.6906
A18,3.46,36.6487
A19,1.66,35.7768
A20,0.6,32.7441
